flow1,flow2,flow3,flow4,lost_time
750,750,750,750,9
600,900,600,900,9
300,600,300,1800,9
1125,1125,1125,1125,9
900,1350,900,1350,9
450,900,450,2700,9
1500,1500,1500,1500,9
1200,1800,1200,1800,9
600,1200,600,3600,9
